timestamp,label,run_path,t_stag_ns,bang_time_ns,V_peak_kms,peak_inflight_rhoR,peak_total_rhoR,rho_peak_all_gcc,rho_peak_foam_gcc,rho_mean_foam_gcc,rhoR_foam,foam_mass_total_mg,adiabat,coupling_pct,HS_rhoR_max,yield_MJ,foam_yield_pct,ignition,foam_zone_range
2026-05-31T14:07:44,WT_cthomas_baseline,/Volumes/tommehlhorn/Sims/Xcimer/HDD_26/WT_cthomas_baseline/WT_cthomas_baseline,16.8075,16.805,2886.7,2.8301,9.0094,1015.01,776.36,85.02,3.0074,4.1186,45.49,85.5,8.9917,196.172,98.3,YES,26-125
2026-05-31T14:08:15,vi6_baseline_orig,/Volumes/tommehlhorn/Sims/Xcimer/Xcimer_Sims/D_Montgomery/VI_6/VI_6,14.63,14.67,579.0,0.0475,1.1861,189.11,189.11,129.16,0.9206,1.7868,1.13,100.0,0.463,28.811,98.3,YES,26-87
2026-05-31T14:10:46,vi6_fl012_burn,/Volumes/tommehlhorn/Sims/Xcimer/Xcimer_Sims/D_Montgomery/HDD_scan/vi6_fl012_burn/vi6_fl012_burn/vi6_fl012_burn,14.72,14.72,567.6,0.1221,1.3113,366.91,366.91,187.95,0.8033,1.7868,1.22,100.0,0.7693,88.16,97.8,YES,26-87
2026-05-31T14:11:31,vi6_c25_burn,/Volumes/tommehlhorn/Sims/Xcimer/Xcimer_Sims/D_Montgomery/HDD_scan/vi6_c25_burn/vi6_c25_burn/vi6_c25_burn,14.84,14.9,558.0,0.0503,1.2443,129.11,129.11,109.94,0.9345,1.7868,0.97,96.1,0.2556,3.491,91.6,no,26-87
